dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,datetime,hour,day,weekday,month,aqi_change,aqi_roll3,pm_ratio,pm2_5_roll3,pm10_roll3,aqi_lag1,pm2_5_lag1
1722628800,3,1148.22,0.0,32.9,38.27,4.11,39.73,44.75,8.49,2024-08-02 20:00:00,20,2,4,8,0.0,3.0,0.8878212290502793,40.00333333333333,45.97333333333333,3.0,40.95
1722632400,3,907.9,0.0,20.73,50.78,3.7,34.21,37.87,6.46,2024-08-02 21:00:00,21,2,4,8,0.0,3.0,0.9033535780301031,38.29666666666667,43.24666666666667,3.0,39.73
1722636000,3,747.68,0.0,13.88,55.07,3.19,27.16,30.03,5.32,2024-08-02 22:00:00,22,2,4,8,0.0,3.0,0.9044289044289044,33.699999999999996,37.55,3.0,34.21
1722639600,2,694.27,0.0,12.0,48.64,2.98,23.59,26.3,5.57,2024-08-02 23:00:00,23,2,4,8,-1.0,2.6666666666666665,0.8969581749049429,28.320000000000004,31.400000000000002,3.0,27.16
1722643200,2,687.6,0.0,12.17,42.92,2.92,22.66,25.28,6.46,2024-08-03 00:00:00,0,3,5,8,0.0,2.3333333333333335,0.8963607594936709,24.47,27.203333333333333,2.0,23.59
1722646800,2,727.65,0.01,15.08,39.7,2.92,23.4,25.92,7.03,2024-08-03 01:00:00,1,3,5,8,0.0,2.0,0.9027777777777777,23.21666666666667,25.833333333333332,2.0,22.66
1722650400,3,974.66,0.91,28.1,29.33,3.37,25.64,28.51,7.09,2024-08-03 02:00:00,2,3,5,8,1.0,2.3333333333333335,0.8993335671694143,23.900000000000002,26.570000000000004,2.0,23.4
1722654000,3,1321.79,5.03,41.13,25.39,4.17,27.79,30.82,7.16,2024-08-03 03:00:00,3,3,5,8,0.0,2.6666666666666665,0.9016872160934458,25.61,28.416666666666668,3.0,25.64
1722657600,2,867.84,1.49,19.88,83.68,7.63,20.84,22.37,4.75,2024-08-03 04:00:00,4,3,5,8,-1.0,2.6666666666666665,0.9316048278945015,24.756666666666664,27.233333333333334,3.0,27.79
1722661200,3,727.65,1.17,12.0,114.44,8.94,17.58,18.75,4.18,2024-08-03 05:00:00,5,3,5,8,1.0,2.6666666666666665,0.9375999999999999,22.069999999999997,23.98,2.0,20.84
1722664800,3,660.9,0.82,7.54,138.76,10.49,17.91,18.95,4.12,2024-08-03 06:00:00,6,3,5,8,0.0,2.6666666666666665,0.9451187335092349,18.776666666666667,20.023333333333333,3.0,17.58
1722668400,4,580.79,0.48,4.16,144.48,7.87,16.43,17.12,3.17,2024-08-03 07:00:00,7,3,5,8,1.0,3.3333333333333335,0.9596962616822429,17.30666666666667,18.273333333333337,3.0,17.91
1722672000,4,567.44,0.47,4.07,141.62,7.09,16.63,17.21,3.04,2024-08-03 08:00:00,8,3,5,8,0.0,3.6666666666666665,0.9662986635676931,16.99,17.76,4.0,16.43
1722675600,4,587.46,0.53,4.67,141.62,7.33,17.17,17.75,3.2,2024-08-03 09:00:00,9,3,5,8,0.0,4.0,0.9673239436619719,16.743333333333336,17.36,4.0,16.63
1722679200,4,607.49,0.54,5.65,141.62,8.34,17.54,18.13,3.32,2024-08-03 10:00:00,10,3,5,8,0.0,4.0,0.9674572531715389,17.113333333333333,17.696666666666665,4.0,17.17
1722682800,3,647.54,0.53,7.63,133.04,8.82,15.9,16.47,3.32,2024-08-03 11:00:00,11,3,5,8,-1.0,3.6666666666666665,0.9653916211293261,16.87,17.45,4.0,17.54
1722686400,3,700.95,0.42,10.71,117.3,8.11,12.4,12.92,3.2,2024-08-03 12:00:00,12,3,5,8,0.0,3.3333333333333335,0.9597523219814241,15.280000000000001,15.839999999999998,3.0,15.9
1722690000,3,774.38,0.28,15.77,100.14,7.57,9.54,10.16,3.55,2024-08-03 13:00:00,13,3,5,8,0.0,3.0,0.9389763779527558,12.613333333333335,13.183333333333332,3.0,12.4
1722693600,2,834.47,0.06,19.88,83.68,7.15,8.52,9.46,4.62,2024-08-03 14:00:00,14,3,5,8,-1.0,2.6666666666666665,0.9006342494714586,10.153333333333334,10.846666666666666,3.0,9.54
1722697200,2,821.11,0.0,19.02,73.67,6.26,7.91,9.16,5.45,2024-08-03 15:00:00,15,3,5,8,0.0,2.3333333333333335,0.8635371179039302,8.656666666666666,9.593333333333334,2.0,8.52
1722700800,2,854.49,0.0,20.22,63.66,4.47,8.59,10.46,6.71,2024-08-03 16:00:00,16,3,5,8,0.0,2.0,0.8212237093690248,8.34,9.693333333333335,2.0,7.91
1722704400,1,907.9,0.0,22.62,52.93,3.61,9.93,12.54,7.6,2024-08-03 17:00:00,17,3,5,8,-1.0,1.6666666666666667,0.791866028708134,8.81,10.72,2.0,8.59
1722708000,2,961.3,0.0,25.02,45.42,3.55,10.89,13.88,7.41,2024-08-03 18:00:00,18,3,5,8,1.0,1.6666666666666667,0.7845821325648416,9.803333333333333,12.293333333333331,1.0,9.93
1722711600,2,934.6,0.0,23.65,42.2,3.58,11.05,13.64,6.46,2024-08-03 19:00:00,19,3,5,8,0.0,1.6666666666666667,0.810117302052786,10.623333333333333,13.353333333333333,2.0,10.89
1722715200,2,821.11,0.0,17.48,43.99,3.55,10.91,12.81,5.45,2024-08-03 20:00:00,20,3,5,8,0.0,2.0,0.8516783762685401,10.950000000000001,13.443333333333333,2.0,11.05
1722718800,2,707.63,0.0,12.17,47.21,3.67,10.42,11.86,4.81,2024-08-03 21:00:00,21,3,5,8,0.0,2.0,0.8785834738617201,10.793333333333335,12.770000000000001,2.0,10.91
1722722400,1,627.52,0.0,9.17,52.21,4.41,9.29,10.36,4.18,2024-08-03 22:00:00,22,3,5,8,-1.0,1.6666666666666667,0.8967181467181466,10.206666666666665,11.676666666666668,2.0,10.42
1722726000,1,594.14,0.0,8.4,52.93,5.19,8.62,9.6,3.89,2024-08-03 23:00:00,23,3,5,8,0.0,1.3333333333333333,0.8979166666666666,9.443333333333333,10.606666666666666,1.0,9.29
1722729600,1,594.14,0.0,8.83,52.93,5.72,8.54,9.49,3.67,2024-08-04 00:00:00,0,4,6,8,0.0,1.0,0.8998946259220231,8.816666666666665,9.816666666666668,1.0,8.62
1722733200,1,614.17,0.0,10.45,52.93,5.72,8.7,9.81,3.93,2024-08-04 01:00:00,1,4,6,8,0.0,1.0,0.8868501529051986,8.62,9.633333333333335,1.0,8.54
1722736800,1,714.3,0.28,17.14,52.21,6.5,9.36,10.89,4.69,2024-08-04 02:00:00,2,4,6,8,0.0,1.0,0.8595041322314049,8.866666666666665,10.063333333333334,1.0,8.7
1722740400,2,841.14,1.93,22.96,61.51,7.87,10.13,11.92,5.26,2024-08-04 03:00:00,3,4,6,8,1.0,1.3333333333333333,0.8498322147651007,9.396666666666667,10.873333333333335,1.0,9.36
1722744000,2,694.27,1.61,16.28,92.98,8.58,8.79,9.95,3.96,2024-08-04 04:00:00,4,4,6,8,0.0,1.6666666666666667,0.8834170854271357,9.426666666666668,10.92,2.0,10.13
1722747600,3,587.46,0.91,11.31,108.72,8.58,8.43,9.3,3.48,2024-08-04 05:00:00,5,4,6,8,1.0,2.3333333333333335,0.9064516129032257,9.116666666666667,10.39,2.0,8.79
1722751200,3,520.71,0.52,8.31,114.44,8.94,8.67,9.38,3.2,2024-08-04 06:00:00,6,4,6,8,0.0,2.6666666666666665,0.9243070362473347,8.629999999999999,9.543333333333333,3.0,8.43
1722754800,3,480.65,0.27,7.11,110.15,8.46,8.49,9.05,2.85,2024-08-04 07:00:00,7,4,6,8,0.0,3.0,0.9381215469613259,8.530000000000001,9.243333333333334,3.0,8.67
1722758400,3,473.98,0.17,7.63,100.14,7.57,8.06,8.54,2.66,2024-08-04 08:00:00,8,4,6,8,0.0,3.0,0.9437939110070259,8.406666666666668,8.99,3.0,8.49
1722762000,2,487.33,0.09,8.31,92.98,6.56,7.74,8.18,2.53,2024-08-04 09:00:00,9,4,6,8,-1.0,2.6666666666666665,0.9462102689486553,8.096666666666666,8.59,3.0,8.06
1722765600,2,507.35,0.03,9.34,84.4,6.44,8.12,8.57,2.56,2024-08-04 10:00:00,10,4,6,8,0.0,2.3333333333333335,0.9474912485414234,7.973333333333334,8.43,2.0,7.74
1722769200,2,534.06,0.03,10.62,75.82,6.38,9.51,10.0,2.91,2024-08-04 11:00:00,11,4,6,8,0.0,2.0,0.951,8.456666666666665,8.916666666666666,2.0,8.12
1722772800,2,580.79,0.08,13.19,69.38,5.96,11.17,11.7,3.13,2024-08-04 12:00:00,12,4,6,8,0.0,2.0,0.9547008547008548,9.6,10.09,2.0,9.51
1722776400,2,794.41,0.3,25.02,55.07,4.53,13.41,14.27,4.43,2024-08-04 13:00:00,13,4,6,8,0.0,2.0,0.9397337070777856,11.363333333333335,11.99,2.0,11.17
1722780000,2,974.66,0.07,33.24,40.41,3.93,15.44,16.86,5.83,2024-08-04 14:00:00,14,4,6,8,0.0,2.0,0.9157769869513642,13.340000000000002,14.276666666666666,2.0,13.41
1722783600,2,1041.41,0.0,34.62,34.69,4.17,17.18,19.21,6.59,2024-08-04 15:00:00,15,4,6,8,0.0,2.0,0.894325871941697,15.343333333333334,16.78,2.0,15.44
1722787200,2,1014.71,0.0,30.85,36.12,4.17,17.9,20.34,6.78,2024-08-04 16:00:00,16,4,6,8,0.0,2.0,0.8800393313667649,16.84,18.803333333333335,2.0,17.18
1722790800,2,1001.36,0.0,28.79,37.55,3.99,17.57,20.31,6.9,2024-08-04 17:00:00,17,4,6,8,0.0,2.0,0.8650910881339242,17.55,19.953333333333333,2.0,17.9
1722794400,2,1028.06,0.01,29.82,34.69,3.99,16.95,19.81,6.71,2024-08-04 18:00:00,18,4,6,8,0.0,2.0,0.8556284704694599,17.473333333333333,20.153333333333332,2.0,17.57
1722798000,2,1014.71,0.01,28.45,32.54,3.78,15.56,18.1,6.52,2024-08-04 19:00:00,19,4,6,8,0.0,2.0,0.8596685082872928,16.69333333333333,19.406666666666666,2.0,16.95
1722801600,2,1001.36,0.01,25.36,31.11,3.93,14.68,17.13,6.84,2024-08-04 20:00:00,20,4,6,8,0.0,2.0,0.8569760653823701,15.729999999999999,18.346666666666664,2.0,15.56
1722805200,2,1001.36,0.01,22.96,28.25,4.23,15.1,18.06,8.04,2024-08-04 21:00:00,21,4,6,8,0.0,2.0,0.8361018826135106,15.113333333333335,17.763333333333332,2.0,14.68
1722808800,2,1001.36,0.03,23.31,20.21,4.29,17.16,21.24,10.13,2024-08-04 22:00:00,22,4,6,8,0.0,2.0,0.8079096045197741,15.646666666666667,18.81,2.0,15.1
1722812400,2,1014.71,0.15,23.99,11.44,4.65,19.84,25.03,12.16,2024-08-04 23:00:00,23,4,6,8,0.0,2.0,0.7926488214143028,17.366666666666664,21.44333333333333,2.0,17.16
1722816000,2,1028.06,0.84,25.36,4.96,5.3,22.51,28.47,14.95,2024-08-05 00:00:00,0,5,0,8,0.0,2.0,0.7906568317527223,19.83666666666667,24.91333333333333,2.0,19.84
1722819600,3,1108.17,5.14,26.39,0.75,6.32,25.41,31.62,16.21,2024-08-05 01:00:00,1,5,0,8,1.0,2.3333333333333335,0.8036053130929791,22.58666666666667,28.373333333333335,2.0,22.51
1722823200,3,1441.96,22.13,27.08,0.77,6.79,29.75,35.95,12.92,2024-08-05 02:00:00,2,5,0,8,0.0,2.6666666666666665,0.8275382475660639,25.89,32.013333333333335,3.0,25.41
1722826800,4,1762.39,38.0,-9999.0,1.65,6.5,31.96,37.43,9.63,2024-08-05 03:00:00,3,5,0,8,1.0,3.3333333333333335,0.8538605396740583,29.040000000000003,35.0,3.0,29.75
1722830400,2,907.9,3.27,32.22,33.26,8.94,17.94,20.04,4.12,2024-08-05 04:00:00,4,5,0,8,-2.0,3.0,0.8952095808383235,26.55,31.14,4.0,31.96
1722834000,2,794.41,2.99,26.05,46.49,12.64,14.2,16.06,4.18,2024-08-05 05:00:00,5,5,0,8,0.0,2.6666666666666665,0.8841843088418431,21.36666666666667,24.51,2.0,17.94
1722837600,2,814.44,2.91,23.99,63.66,17.64,14.77,16.64,4.75,2024-08-05 06:00:00,6,5,0,8,0.0,2.0,0.8876201923076923,15.636666666666665,17.58,2.0,14.2
1722841200,2,560.76,1.17,12.85,82.25,15.97,9.86,10.82,2.69,2024-08-05 07:00:00,7,5,0,8,0.0,2.0,0.9112754158964879,12.943333333333333,14.506666666666666,2.0,14.77
1722844800,2,500.68,0.66,11.14,82.25,13.23,8.19,8.93,2.56,2024-08-05 08:00:00,8,5,0,8,0.0,2.0,0.9171332586786114,10.94,12.13,2.0,9.86
1722848400,2,514.03,0.47,12.51,75.82,13.35,7.37,8.1,2.85,2024-08-05 09:00:00,9,5,0,8,0.0,2.0,0.9098765432098765,8.473333333333333,9.283333333333333,2.0,8.19
1722852000,2,540.73,0.54,15.08,68.66,15.74,7.13,7.93,3.29,2024-08-05 10:00:00,10,5,0,8,0.0,2.0,0.8991172761664565,7.563333333333333,8.32,2.0,7.37
1722855600,2,594.14,0.43,18.68,61.51,18.12,7.45,8.39,3.93,2024-08-05 11:00:00,11,5,0,8,0.0,2.0,0.8879618593563766,7.316666666666666,8.14,2.0,7.13
1722859200,1,674.25,0.27,22.62,52.93,17.17,7.52,8.56,4.56,2024-08-05 12:00:00,12,5,0,8,-1.0,1.6666666666666667,0.8785046728971961,7.366666666666666,8.293333333333333,2.0,7.45
1722862800,2,1068.12,0.8,44.55,26.82,13.59,9.91,11.58,7.28,2024-08-05 13:00:00,13,5,0,8,1.0,1.6666666666666667,0.8557858376511226,8.293333333333333,9.51,1.0,7.52
1722866400,2,1615.52,6.26,63.75,2.79,10.49,15.27,18.37,11.27,2024-08-05 14:00:00,14,5,0,8,0.0,1.6666666666666667,0.8312465977136635,10.9,12.836666666666668,2.0,9.91
