dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1722621600,3,1508.71,0.12,52.78,20.03,4.89,39.33,46.05,12.29
1722625200,3,1375.2,0.03,46.61,25.03,4.53,40.95,47.12,10.77
1722628800,3,1148.22,0.0,32.9,38.27,4.11,39.73,44.75,8.49
1722632400,3,907.9,0.0,20.73,50.78,3.7,34.21,37.87,6.46
1722636000,3,747.68,0.0,13.88,55.07,3.19,27.16,30.03,5.32
1722639600,2,694.27,0.0,12.0,48.64,2.98,23.59,26.3,5.57
1722643200,2,687.6,0.0,12.17,42.92,2.92,22.66,25.28,6.46
1722646800,2,727.65,0.01,15.08,39.7,2.92,23.4,25.92,7.03
1722650400,3,974.66,0.91,28.1,29.33,3.37,25.64,28.51,7.09
1722654000,3,1321.79,5.03,41.13,25.39,4.17,27.79,30.82,7.16
1722657600,2,867.84,1.49,19.88,83.68,7.63,20.84,22.37,4.75
1722661200,3,727.65,1.17,12.0,114.44,8.94,17.58,18.75,4.18
1722664800,3,660.9,0.82,7.54,138.76,10.49,17.91,18.95,4.12
1722668400,4,580.79,0.48,4.16,144.48,7.87,16.43,17.12,3.17
1722672000,4,567.44,0.47,4.07,141.62,7.09,16.63,17.21,3.04
1722675600,4,587.46,0.53,4.67,141.62,7.33,17.17,17.75,3.2
1722679200,4,607.49,0.54,5.65,141.62,8.34,17.54,18.13,3.32
1722682800,3,647.54,0.53,7.63,133.04,8.82,15.9,16.47,3.32
1722686400,3,700.95,0.42,10.71,117.3,8.11,12.4,12.92,3.2
1722690000,3,774.38,0.28,15.77,100.14,7.57,9.54,10.16,3.55
1722693600,2,834.47,0.06,19.88,83.68,7.15,8.52,9.46,4.62
1722697200,2,821.11,0.0,19.02,73.67,6.26,7.91,9.16,5.45
1722700800,2,854.49,0.0,20.22,63.66,4.47,8.59,10.46,6.71
1722704400,1,907.9,0.0,22.62,52.93,3.61,9.93,12.54,7.6
1722708000,2,961.3,0.0,25.02,45.42,3.55,10.89,13.88,7.41
1722711600,2,934.6,0.0,23.65,42.2,3.58,11.05,13.64,6.46
1722715200,2,821.11,0.0,17.48,43.99,3.55,10.91,12.81,5.45
1722718800,2,707.63,0.0,12.17,47.21,3.67,10.42,11.86,4.81
1722722400,1,627.52,0.0,9.17,52.21,4.41,9.29,10.36,4.18
1722726000,1,594.14,0.0,8.4,52.93,5.19,8.62,9.6,3.89
1722729600,1,594.14,0.0,8.83,52.93,5.72,8.54,9.49,3.67
1722733200,1,614.17,0.0,10.45,52.93,5.72,8.7,9.81,3.93
1722736800,1,714.3,0.28,17.14,52.21,6.5,9.36,10.89,4.69
1722740400,2,841.14,1.93,22.96,61.51,7.87,10.13,11.92,5.26
1722744000,2,694.27,1.61,16.28,92.98,8.58,8.79,9.95,3.96
1722747600,3,587.46,0.91,11.31,108.72,8.58,8.43,9.3,3.48
1722751200,3,520.71,0.52,8.31,114.44,8.94,8.67,9.38,3.2
1722754800,3,480.65,0.27,7.11,110.15,8.46,8.49,9.05,2.85
1722758400,3,473.98,0.17,7.63,100.14,7.57,8.06,8.54,2.66
1722762000,2,487.33,0.09,8.31,92.98,6.56,7.74,8.18,2.53
1722765600,2,507.35,0.03,9.34,84.4,6.44,8.12,8.57,2.56
1722769200,2,534.06,0.03,10.62,75.82,6.38,9.51,10.0,2.91
1722772800,2,580.79,0.08,13.19,69.38,5.96,11.17,11.7,3.13
1722776400,2,794.41,0.3,25.02,55.07,4.53,13.41,14.27,4.43
1722780000,2,974.66,0.07,33.24,40.41,3.93,15.44,16.86,5.83
1722783600,2,1041.41,0.0,34.62,34.69,4.17,17.18,19.21,6.59
1722787200,2,1014.71,0.0,30.85,36.12,4.17,17.9,20.34,6.78
1722790800,2,1001.36,0.0,28.79,37.55,3.99,17.57,20.31,6.9
1722794400,2,1028.06,0.01,29.82,34.69,3.99,16.95,19.81,6.71
1722798000,2,1014.71,0.01,28.45,32.54,3.78,15.56,18.1,6.52
1722801600,2,1001.36,0.01,25.36,31.11,3.93,14.68,17.13,6.84
1722805200,2,1001.36,0.01,22.96,28.25,4.23,15.1,18.06,8.04
1722808800,2,1001.36,0.03,23.31,20.21,4.29,17.16,21.24,10.13
1722812400,2,1014.71,0.15,23.99,11.44,4.65,19.84,25.03,12.16
1722816000,2,1028.06,0.84,25.36,4.96,5.3,22.51,28.47,14.95
1722819600,3,1108.17,5.14,26.39,0.75,6.32,25.41,31.62,16.21
1722823200,3,1441.96,22.13,27.08,0.77,6.79,29.75,35.95,12.92
1722826800,4,1762.39,38.0,-9999.0,1.65,6.5,31.96,37.43,9.63
1722830400,2,907.9,3.27,32.22,33.26,8.94,17.94,20.04,4.12
1722834000,2,794.41,2.99,26.05,46.49,12.64,14.2,16.06,4.18
1722837600,2,814.44,2.91,23.99,63.66,17.64,14.77,16.64,4.75
1722841200,2,560.76,1.17,12.85,82.25,15.97,9.86,10.82,2.69
1722844800,2,500.68,0.66,11.14,82.25,13.23,8.19,8.93,2.56
1722848400,2,514.03,0.47,12.51,75.82,13.35,7.37,8.1,2.85
1722852000,2,540.73,0.54,15.08,68.66,15.74,7.13,7.93,3.29
1722855600,2,594.14,0.43,18.68,61.51,18.12,7.45,8.39,3.93
1722859200,1,674.25,0.27,22.62,52.93,17.17,7.52,8.56,4.56
1722862800,2,1068.12,0.8,44.55,26.82,13.59,9.91,11.58,7.28
1722866400,2,1615.52,6.26,63.75,2.79,10.49,15.27,18.37,11.27
1722870000,2,1949.31,14.98,65.12,0.09,9.06,20.71,25.37,13.05
1722873600,2,2082.82,18.55,63.06,0.02,7.45,24.98,31.26,13.3
1722877200,3,2029.42,21.01,56.89,0.01,6.02,27.72,35.6,12.67
1722880800,3,1976.01,24.59,51.41,0.0,5.3,29.1,38.12,11.53
1722884400,3,1735.69,21.01,45.93,0.01,4.47,27.77,36.31,9.88
1722888000,2,1321.79,7.49,41.13,0.93,3.64,24.65,31.6,8.11
1722891600,2,921.25,0.22,27.76,15.91,3.19,21.24,26.2,6.71
